"Time Steps" "Input pressure setpoint(psi)" "Output Angle (deg)"
1 3.00020409 7.5534477383508
2 3.02500606006931 7.55826533610386
3 3.04997566368164 7.55656493467845
4 3.07511663169283 7.55632485532095
5 3.10016146804387 7.5540568891812
6 3.12650469645331 7.55555871620126
7 3.15249060854656 7.55948860721716
8 3.17741126897964 7.55922823187589
9 3.202592249851 7.56250420788771
10 3.22711304922214 7.56280066116759
11 3.25211134834314 7.56481426747564
12 3.27747062895519 7.56238632262972
13 3.30134444597822 7.56831350955616
14 3.32685794094961 7.57085265006884
15 3.35236734809869 7.57583888712591
16 3.37735006047714 7.57845356666451
17 3.4021174174672 7.59195367526377
18 3.42651040997019 7.60185995214067
19 3.4522687373938 7.61380372385545
20 3.47743888151875 7.6255295339574
21 3.50200831120609 7.63873669611996
22 3.52739455994945 7.65049375558814
23 3.55246343469232 7.66013149386836
24 3.57773156832117 7.66462273578443
25 3.60229104963024 7.67074279037089
26 3.62678740394855 7.6810922652439
27 3.65183817822726 7.68955643667752
28 3.67630879289142 7.69861700614379
29 3.70178980059725 7.7061854448074
30 3.72670461331987 7.71621619065508
31 3.75178176825136 7.72714743680592
32 3.77716375125548 7.73321565813427
33 3.8007963361361 7.74966647972059
34 3.82436203348291 7.75249779808937
35 3.84983379817589 7.76788165425427
36 3.87389079088671 7.78302319675277
37 3.89998167571522 7.79596916701107
38 3.92607499541065 7.80601099665608
39 3.95132943934295 7.81975455627551
40 3.97625063995092 7.8300472301739
41 4.00225088934445 7.84579498613073
42 4.0272127440523 7.85763762183416
43 4.05265546409633 7.87108062886523
44 4.07668705476978 7.88515623984932
45 4.10196369991322 7.90039019370488
46 4.12747121747256 7.91560574280749
47 4.15115120462795 7.92985479005014
48 4.17624118730795 7.94165064116987
49 4.2023016484087 7.95436769093001
50 4.2271647904483 7.96620973355644
51 4.25218731791692 7.9773454057497
52 4.27743245505935 7.9864230899683
53 4.3015936850982 8.00080584436665
54 4.32664249574261 8.02329492202588
55 4.35195276541189 8.03511678213857
56 4.37653065136668 8.04661132964804
57 4.40174570830676 8.06129479743865
58 4.42629168745307 8.07410812329832
59 4.4514617791512 8.08818763781224
60 4.47663470456762 8.10244970163589
61 4.50234503180313 8.11537760515651
62 4.52749480118842 8.12523716274018
63 4.55180822517085 8.14618201513329
64 4.57706807115315 8.15979039351373
65 4.60182815699717 8.18364280641043
66 4.62603216922537 8.20251977036838
67 4.65023162957267 8.22593544414818
68 4.67525871363414 8.23909139231438
69 4.70127631838034 8.24771294678652
70 4.72588427704033 8.27082830626583
71 4.75118334341016 8.28956160119495
72 4.77704620225471 8.31114021231028
73 4.8016584129765 8.32769581076101
74 4.8265485160932 8.342424837924
75 4.85173430188766 8.35896833095251
76 4.8757893147192 8.37291788775997
77 4.90200516147655 8.38863515126621
78 4.92784425572924 8.40294220539897
79 4.95150025717032 8.41032687795888
80 4.97603585867294 8.43657034400661
81 5.00121384032041 8.44995537244361
82 5.02663183899301 8.461476639544
83 5.05132895146585 8.47579084184432
84 5.07660721759123 8.48652901467085
85 5.10225195680443 8.50418296050816
86 5.12710985727133 8.51232598629244
87 5.15221781964185 8.52816923153944
88 5.17705359703698 8.53498181994863
89 5.20271216707947 8.55273869139302
90 5.22730436955235 8.56321590089817
91 5.25221056358756 8.57578348432114
92 5.27718292400345 8.59002541060707
93 5.30208875492135 8.60621992978753
94 5.32694222111045 8.6229077056033
95 5.35211721555527 8.64510587709412
96 5.376887977261 8.6576535048186
97 5.40213006896699 8.67377367612269
98 5.42764496320903 8.69256318186075
99 5.45187501917398 8.71044550599521
100 5.47716923121882 8.72547425586114
101 5.50182563521641 8.74351561109452
102 5.52710695396311 8.7552547682713
103 5.55201068282315 8.7708193598001
104 5.5765520339665 8.78356605471939
105 5.60200688927933 8.7999636006839
106 5.62729721446731 8.81354123901139
107 5.65160487859127 8.83029725601526
108 5.67661469759596 8.85005796344151
109 5.70163327385806 8.86926819019541
110 5.72528313834151 8.87844429202227
111 5.75199125895775 8.89253873507826
112 5.77674707017017 8.90188589185311
113 5.8013695540565 8.91284008232685
114 5.8263054899914 8.9243738434545
115 5.85186736262672 8.94043429394384
116 5.87695724687428 8.94825882413647
117 5.90132640294759 8.96057167749854
118 5.92638250694861 8.97034068101908
119 5.9524228394976 8.98528464255224
120 5.97654856499031 8.99792125471131
121 6.00150851826856 9.01597676931667
122 6.02681950738226 9.02614076469342
123 6.05229426876681 9.03873775212264
124 6.07734483133085 9.05742847464074
125 6.10218793459155 9.07047355231708
126 6.12760927791043 9.08171889431418
127 6.15163332959307 9.0957993716398
128 6.17666340106206 9.10876885229382
129 6.20209351539428 9.12904917153779
130 6.22624677109282 9.15037138276881
131 6.25085922994285 9.17117385156561
132 6.27664156550834 9.19772418034043
133 6.3019965441563 9.21802024731102
134 6.32701304509193 9.23200059014883
135 6.35191661706239 9.24798539891489
136 6.37698688244013 9.26136340567191
137 6.40159034119253 9.2780166860023
138 6.42666567219957 9.29097935846519
139 6.45246152570482 9.30208440508238
140 6.47694218986102 9.31473628633375
141 6.50266607210261 9.33438535356078
142 6.52731075319546 9.34519447891472
143 6.55205070332011 9.3587539149635
144 6.57683214570992 9.36951038050194
145 6.60154880348977 9.37014033547078
146 6.62680560394174 9.39234738390115
147 6.65233133477645 9.4028530768044
148 6.676694918746 9.41755347922444
149 6.70183736988015 9.43242267409576
150 6.72672703519201 9.44540252346587
